Id,ActivityHour,StepTotal
4558609924,2016-04-30,360
4558609924,2016-04-30,365
4558609924,2016-04-30,117
4558609924,2016-04-30,273
4558609924,2016-04-30,360
4558609924,2016-04-30,1721
4558609924,2016-04-30,410
4558609924,2016-04-30,142
4558609924,2016-04-30,812
4558609924,2016-04-30,3370
4558609924,2016-04-30,1239
4558609924,2016-04-30,15
4558609924,2016-04-30,143
4558609924,2016-04-30,156
4558609924,2016-04-30,46
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-01,361
4558609924,2016-05-01,594
4558609924,2016-05-01,117
4558609924,2016-05-01,305
4558609924,2016-05-01,287
4558609924,2016-05-01,409
4558609924,2016-05-01,433
4558609924,2016-05-01,25
4558609924,2016-05-01,282
4558609924,2016-05-01,190
4558609924,2016-05-01,343
4558609924,2016-05-01,50
4558609924,2016-05-01,32
4558609924,2016-05-01,0
4558609924,2016-05-01,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,0
4558609924,2016-05-02,623
4558609924,2016-05-02,452
4558609924,2016-05-02,902
4558609924,2016-05-02,1036
4558609924,2016-05-02,308
4558609924,2016-05-02,180
4558609924,2016-05-02,362
4558609924,2016-05-02,356
4558609924,2016-05-02,532
4558609924,2016-05-02,283
4558609924,2016-05-02,582
4558609924,2016-05-02,515
4558609924,2016-05-02,746
4558609924,2016-05-02,849
4558609924,2016-05-02,131
4558609924,2016-05-02,34
4558609924,2016-05-03,36
4558609924,2016-05-03,48
4558609924,2016-05-03,2
4558609924,2016-05-03,0
4558609924,2016-05-03,0
4558609924,2016-05-03,0
4558609924,2016-05-03,0
4558609924,2016-05-03,0
4558609924,2016-05-03,0
4558609924,2016-05-03,245
4558609924,2016-05-03,301
4558609924,2016-05-03,367
4558609924,2016-05-03,253
4558609924,2016-05-03,200
4558609924,2016-05-03,266
4558609924,2016-05-03,86
4558609924,2016-05-03,758
4558609924,2016-05-03,337
4558609924,2016-05-03,1714
4558609924,2016-05-03,44
4558609924,2016-05-03,29
4558609924,2016-05-03,307
4558609924,2016-05-03,229
4558609924,2016-05-03,45
